School Name (ULCS),Street Address,City,State,Coordinates,Zip Code,ULCS Code,Councilmanic District & Rep,Year Built,School Type,Managed,Planning Area,Police District,Total # of Students,Facility Condition Index [FCI],Condition Assessment Cost [CAC],Replacement Cost [CRV],American Indian/Alaskan Native (Not Hispanic) - Count,American Indian/Alaskan Native (Not Hispanic) - Percentage,Asian (not Hispanic) - Count,Asian (not Hispanic) - Percentage,Black/African American (not Hispanic) - Count,Black/African American (not Hispanic) - Percentage,Hispanic (any race) - Count,Hispanic (any race) - Percentage,Multi-Race/Two or more races (not Hispanic) - Count,Multi-Race/Two or more races (not Hispanic) - Percentage,Native Hawaiian or other Pacific Islander (not Hispanic) - Count,Native Hawaiian or other Pacific Islander (not Hispanic) - Percentage,White (not Hispanic) - Count,White (not Hispanic) - Percentage,CEP Economically Disadvantaged Rate,Sq. Ft. (Building),Sq. Ft. (Site),Sq. Ft. (Footprint),Capacity,# Floors,Special Needs - Count,Special Needs - Percentage,Avg Daily Attendance,10+ Absences
PARKWAY WEST HIGH SCHOOL,4725 FAIRMOUNT AVE.,PHILADELPHIA,PA,"-75.215821,39.964843",19139,5090,3 - Blackwell,1924,High School,District,West,16th District,292,0.32,13049592,41040000,,,,,282,97%,,,,,,,,,100%,120000,96473,53549,1202,,29,10%,91%,54%
"BODINE, WILLIAM W. HIGH SCHOOL",1101 N. 4TH ST.,PHILADELPHIA,PA,"-75.143066,39.968187",19123,5150,1 - Squilla,1935,High School,District,South-Central,26th District,447,0.607,12706868,20945000,,,53,12%,230,51%,92,21%,23,5%,,,48,11%,94%,59000,47590,15314,639,4,,,94%,39%
PENN TREATY HIGH SCHOOL,600 E. THOMPSON ST.,PHILADELPHIA,PA,"-75.127128,39.972643",19125,5160,5 - Clarke,1928,Middle School,District,,,494,0.29,14.3,,,,,,134,27%,160,32%,27,5%,,,168,34%,100%,,,,,,150,30%,,
"DEBURGOS, J. ELEMENTARY",401 W. LEHIGH AVE.,PHILADELPHIA,PA,"-75.138638,39.992627",19133,5170,7- Q-S,2002,Elementary School,District,North-Central,25th District,859,0.02,1030199,43658000,,,,,111,13%,670,78%,64,7%,,,,,100%,131500,108425,59848,1093,3,169,20%,93%,42%
"ADAIRE, ALEXANDER SCHOOL",1300 E. PALMER ST.,PHILADELPHIA,PA,"-75.13004,39.972578",19125,5200,5 - Clarke,1957,Elementary School,District,North-Central,26th District,358,0.45,7411221,16563480,,,,,24,7%,37,10%,22,6%,,,272,76%,100%,49890,75755,32132,437,2,51,14%,94%,43%
"BROWN, HENRY A. SCHOOL",1946 E. SERGEANT ST.,PHILADELPHIA,PA,"-75.127706,39.986782",19125,5210,1 - Squilla,1959,Elementary School,District,North-Central,26th District,541,0.18,3965550,22507940,,,81,15%,68,13%,266,49%,50,9%,,,75,14%,100%,67795,39598,27870,775,3,83,15%,93%,47%
"CONWELL, RUSSELL MIDDLE SCHOOL",1829 CLEARFIELD ST.,PHILADELPHIA,PA,"-75.114573,39.994432",19134,5230,1 - Squilla,1926,Middle School,District,North-Central,24th District,490,0.36,6864430,19015200,,,23,5%,206,42%,195,40%,22,4%,,,43,9%,100%,55600,43931,18538,483,3,22,4%,94%,39%
"DUNBAR, PAUL L. SCHOOL",1750 N. 12TH ST.,PHILADELPHIA,PA,"-75.154257,39.979119",19122,5250,5 - Clarke,1932,Elementary School,District,North-Central,22nd District,318,0.77,13635726,17662400,,,,,281,88%,,,24,8%,,,,,100%,53200,44733,16260,477,5,75,24%,93%,42%
"ELKIN, LEWIS SCHOOL",3199 D ST.,PHILADELPHIA,PA,"-75.120911,39.996916",19134,5260,7- Q-S,1973,Elementary School,District,North-Central,24th District,873,0.4248850666,7504490,17662400,,,,,145,17%,624,71%,82,9%,,,,,100%,53200,114521,34649,855,3,70,8%,,
"HACKETT, HORATIO B. SCHOOL",2161 E. YORK ST.,PHILADELPHIA,PA,"-75.126531,39.981138",19125,5300,1 - Squilla,1969,Elementary School,District,North-Central,26th District,371,0.22,7783868,36038600,,,,,32,9%,42,11%,52,14%,,,238,64%,100%,108550,100154,36320,596,4,86,23%,92%,56%
